"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모","관광숙박업상세명"
"3130000","CDFI2260032016000004","20160906","","03","폐업","03","폐업","20220127","","","","02-715-6000","","","서울특별시 마포구 신정동 98-1 ","서울특별시 마포구 서강로 19 (신정동)","04080","케이호스텔","2022-01-27 18:57:02","U","2022-01-29 02:40:00.0","","193739.315165771    ","449217.82970806     ","관광숙박업","","일반주거지역","14","","","현대해상 화재보험,27실","숙박시설","12","2","27","1473","K Hostel","Hotel","","","","","","","","976.4","","","","","","","","","","","","","976","호스텔업"
"3130000","CDFI2260032016000005","20161017","","01","영업/정상","13","영업중","","","","","02  363 3941","","","서울특별시 마포구 동교동 155-30번지 ","서울특별시 마포구 양화로 177-1 (동교동)","03994","나비호스텔","2019-01-15 14:27:33","U","2019-01-17 02:40:00.0","","193279.38663668     ","450637.276776739    ","관광숙박업","","근린상업지역","11","","","27실","숙박시설","10","1","27","993","Nabi Hostel","Hostel","","","","","","","","992.59","","","","","","","","","8000000000","","","","993","호스텔업"
"3130000","CDFI2260032017000001","20170221","","01","영업/정상","13","영업중","","","","","02-3141-8800","","","서울특별시 마포구 서교동 354-10번지 ","서울특별시 마포구 홍익로5길 32 (서교동, 나인브릭)","04038","나인브릭","2017-02-22 13:39:32","I","2018-08-31 23:59:59.0","","192911.642624498    ","450171.317352359    ","관광숙박업","","근린상업지역","18","학교정화(상대)","","94실(200명)","","16","2","94","3784","9BRICK","TOURIST ACCOMMODATION(TOURIST HOTEL)","","","","","","","","3784.07","","","","","","","","","18000000000","","","","3784","관광호텔업"
"3130000","CDFI2260032017000002","20170630","","01","영업/정상","13","영업중","","","","","0505-068-7207","","","서울특별시 마포구 노고산동 1-74 ","서울특별시 마포구 신촌로 152 (노고산동)","04104","에이치에비뉴 호텔 이대점","2020-10-12 12:51:38","U","2020-10-14 02:40:00.0","","194856.148175113    ","450442.424814188    ","관광숙박업","","일반주거지역","15","","","94실","호텔","13","2","94","2773","H-AVENUE Hotel","Tourist Hotel","","","","","","","","2772.94","","","","","","","","","","","","","2773","관광호텔업"
"3130000","CDFI2260032017000003","20171229","","01","영업/정상","13","영업중","","","","","3704-8465","","","서울특별시 마포구 도화동 25-13 효성해링턴 스퀘어 ","서울특별시 마포구 마포대로 92, 효성해링턴 스퀘어 (도화동)","04168","글래드호텔 마포","2021-12-28 14:46:45","U","2021-12-30 02:40:00.0","","195616.580723896    ","448973.867131637    ","관광숙박업","","","26","","","378","","24","2","378","26504","GLAD HOTEL Mapo","TOURIST ACCOMMODATION(TOURIST HOTEL)","","","","","","","","26504.2","","","","","","","","","","","","","26504","관광호텔업"
"3130000","CDFI2260032018000001","2018-01-29","","01","영업/정상","13","영업중","","","","","2289-1000","","","서울특별시 마포구 동교동 160-5 롯데호텔 L7홍대","서울특별시 마포구 양화로 141, 롯데호텔 L7홍대 (동교동)","03995","(주)호텔롯데 L7홍대","2023-09-13 17:12:33","U","2022-12-08 23:05:00.0","","193005.883365365","450387.023230304","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3130000","CDFI2260032018000002","20180420","","01","영업/정상","13","영업중","","","","","330-7872, 3307570","","","서울특별시 마포구 서교동 354-5 ","서울특별시 마포구 양화로 130 (서교동)","04038","라이즈호텔","2020-08-24 17:27:50","U","2020-08-26 02:40:00.0","","192971.947727746    ","450243.232547428    ","관광숙박업","","","25","","","274","","20","5","274","29332","RYSE HOTEL","TOURIST ACCOMMODATION(TOURIST HOTEL)","","","","","","","","29331.57","","","","","","","","","1000000000","","","","29332","관광호텔업"
"3130000","CDFI2260032018000003","20180828","","01","영업/정상","13","영업중","","","","","023238811","","","서울특별시 마포구 동교동 113-96번지 ","서울특별시 마포구 연희로 27 (동교동)","03985","클레오","2018-09-03 18:00:02","I","2018-10-09 15:19:31.0","","193449.985027039    ","451015.020894903    ","관광숙박업","","","8","","","24실","","7","1","24","601","","","","","","","","","","600.69","","","","","","","","","","","","","601","호스텔업"
"3130000","CDFI2260032018000004","20180831","","01","영업/정상","13","영업중","","","","","027682661","","","서울특별시 마포구 동교동 190-1번지 ","서울특별시 마포구 양화로 188 (동교동)","04051","홀리데이 인 익스프레스 서울 홍대","2018-10-12 10:02:25","U","2018-10-12 23:59:59.0","","193565.900355472    ","450545.668460987    ","관광숙박업","","","10","","","294실","","710","","294","13611","Holiday Inn Express Seoul Hongdae","TOURIST ACCOMMODATION(TOURIST HOTEL)","","","","","","","","13610.51","","","","","","","","","","","","","13611","관광호텔업"
"3130000","CDFI2260032019000001","20191230","","03","폐업","03","폐업","20220127","","","","02-336-9000","","","서울특별시 마포구 망원동 397-2 샤이닝글로리하우스 ","서울특별시 마포구 희우정로 90, 샤이닝글로리하우스 (망원동)","04015","샤이닝 글로리 하우스","2022-01-27 18:56:51","U","2022-01-29 02:40:00.0","","191352.451615868    ","450172.007939868    ","관광숙박업","","일반주거지역","8","기타","","","호텔","7","1","69","651","SHINING GLORY HOUSE","TOURIST ACCOMMODATION(TOURIST HOTEL)","","","","","","","","3828.39","","","","","","","","","","","","","3828","관광호텔업"
"3130000","CDFI2260032020000001","20201211","","01","영업/정상","13","영업중","","","","","02-324-0021","","","서울특별시 마포구 서교동 373-1 ","서울특별시 마포구 양화로 94, 보보호텔 (서교동)","04043","보보호텔","2021-01-14 13:26:00","U","2021-01-16 02:40:00.0","","192702.357899428    ","450008.91757619     ","관광숙박업","","준주거지역","6","학교정화(상대)","","","호텔","5","1","55","","","","","","","","","","","2625","","","","","","","","","","","","","2625","관광호텔업"
"3130000","CDFI2260032021000001","20211123","","01","영업/정상","13","영업중","","","","","02-332-7771","","","서울특별시 마포구 합정동 379-4 주니비노 호텔 ","서울특별시 마포구 양화진2길 31, 주니비노 호텔 (합정동)","04084","주니비노호텔","2022-01-09 14:53:49","U","2022-01-11 02:40:00.0","","192043.507297118    ","449524.361048163    ","관광숙박업","","일반주거지역","14","","","","숙박시설","12","2","68","6174","","","0","0","","0","0","","0","6173.93","","0","","","","","","","0","","","","6174","관광호텔업"
"3130000","CDFI2260032021000002","20211222","","01","영업/정상","13","영업중","","","","","02-3702-0300","","","서울특별시 마포구 도화동 573","서울특별시 마포구 마포대로 67 (도화동)","04157","로이넷 호텔 서울 마포","2022-11-03 15:09:19","U","2021-11-01 00:05:00.0","","195366.525965188","448847.482572649","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3130000","CDFI2260032021000003","2021-12-22","","01","영업/정상","13","영업중","","","","","02-3774-1101","","","서울특별시 마포구 동교동 162-5 MERCURE 앰배서더 HOTEL 홍대","서울특별시 마포구 양화로 144, MERCURE 앰배서더 HOTEL 홍대 (동교동)","04050","머큐어 앰배서더 서울 홍대","2023-12-04 09:16:15","U","2022-11-02 00:06:00.0","","193073.64466155","450341.82321403","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3130000","CDFI2260032022000001","2022-10-12","","01","영업/정상","13","영업중","","","","","02-6410-1000","","","서울특별시 마포구 마포동 450 나루","서울특별시 마포구 마포대로 8 (마포동)","04176","호텔 나루","2023-03-30 15:17:35","U","2022-12-04 22:06:00.0","","195002.716187445","448331.067134872","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3130000","CDFI2260032023000001","2023-06-30","","01","영업/정상","13","영업중","","","","","","","","서울특별시 마포구 서교동 460-25","서울특별시 마포구 월드컵북로5길 41 (서교동)","04002","크리에이터타운 서교","2023-07-12 16:18:35","U","2022-12-06 23:04:00.0","","192579.727675563","450446.890829184","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
